model,z,f,D,fs8,EG_sigma1
LCDM,0.1,0.5822892787637776,0.9486472539011892,0.44668035319192295,0.5353214607104937
LCDM,0.3,0.6816592184238385,0.8535184870285154,0.4704717465637993,0.4572841367635853
LCDM,0.5,0.758340186071047,0.7698613868496165,0.4720955552886653,0.4110450072267194
LCDM,0.7,0.8156946595593462,0.6975685204586549,0.4601164875509876,0.38214293009136285
LCDM,1.0,0.8748524837704277,0.607889278513298,0.43004372594671925,0.3563022944399417
GEO_CLASS,0.1,0.5846890265780458,0.9484299175179665,0.42248295740002445,0.5374577671154593
GEO_CLASS,0.3,0.6838954414409164,0.8529900784451826,0.44443954579023404,0.4594937173721409
GEO_CLASS,0.5,0.7602906900808879,0.7691533424206798,0.4455245196187588,0.41332303917612767
GEO_CLASS,0.7,0.8173325516572905,0.6967702334134612,0.4338777618849115,0.38447711160452097
GEO_CLASS,1.0,0.8760732827360567,0.6070527832253856,0.405178037984597,0.3586979136039055
